season,Year,NW,SW,S
DJF,1981,0,0,0
DJF,1982,0.33333333333333337,0,0
DJF,1983,1.6666666666666665,0,0
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0,0,0
DJF,1989,8,3,0
DJF,1990,19.666666666666668,4.333333333333333,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0.33333333333333337,0,0
DJF,1994,1,6.666666666666666,1.3333333333333335
DJF,1995,12.666666666666668,4.666666666666666,5.333333333333333
DJF,1996,5,1.3333333333333335,2
DJF,1997,12,6.666666666666666,0
DJF,1998,17.666666666666668,5.666666666666666,3.666666666666667
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,10,9.333333333333334,0.6666666666666667
DJF,2003,0,0,0
DJF,2004,0,0,2
DJF,2005,0,0,0
DJF,2006,4.666666666666666,0.6666666666666667,2.333333333333333
DJF,2007,7,4.666666666666666,4.666666666666667
DJF,2008,19.666666666666664,13.666666666666668,7.666666666666667
DJF,2009,0.33333333333333337,0,0
DJF,2010,0,0.6666666666666667,0.33333333333333337
DJF,2011,7,7.333333333333333,0.6666666666666667
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0,0,0
DJF,2015,11,5.666666666666666,3.666666666666667
DJF,2016,17,10.666666666666666,5.333333333333333
DJF,2017,0,0.6666666666666667,0.33333333333333337
DJF,2018,0,0,0
DJF,2019,0,1,0.33333333333333337
DJF,2020,5.333333333333334,2.3333333333333335,6.333333333333333
DJF,2021,0,0,0
DJF,2022,6.333333333333334,5,3.333333333333333
DJF,2023,12,7.333333333333334,3.3333333333333335
DJF,2024,14,4,1
DJF,2025,13.333333333333334,4,2.6666666666666665
MAM,1982,0,0,2.666666666666667
MAM,1983,0,3,1.6666666666666665
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,2.666666666666667,0.6666666666666666,3.333333333333333
MAM,1988,2,0,0
MAM,1989,3.3333333333333335,0.6666666666666667,0
MAM,1990,11.333333333333334,5.666666666666666,0.6666666666666666
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,0.33333333333333337
MAM,1995,0.6666666666666667,2.666666666666667,2
MAM,1996,0.6666666666666667,0,0
MAM,1997,5,7.666666666666667,9.333333333333334
MAM,1998,15.333333333333332,9.333333333333334,5.666666666666666
MAM,1999,0,1.3333333333333335,1.6666666666666665
MAM,2000,1.6666666666666665,2.666666666666667,2.3333333333333335
MAM,2001,0.6666666666666667,0,0
MAM,2002,5.333333333333334,5.333333333333334,3.666666666666667
MAM,2003,0.33333333333333337,0,0
MAM,2004,0,0,0
MAM,2005,0.33333333333333337,0.33333333333333337,0
MAM,2006,6.666666666666666,1.3333333333333333,0.33333333333333337
MAM,2007,6.333333333333334,0,0
MAM,2008,1,0.33333333333333337,0.33333333333333337
MAM,2009,0,0,0
MAM,2010,12.666666666666668,11.333333333333334,4.333333333333333
MAM,2011,18.666666666666664,11,9.666666666666666
MAM,2012,6.333333333333333,0,2.666666666666667
MAM,2013,0,0,2.666666666666667
